pergunta,resposta
No Natal ou Ano Novo vocês abrem?,"Nesses dias temos horário especial. Normalmente abrimos mais cedo para o Natal, mas no Ano Novo apenas almoço. Melhor confirmar com a gente por telefone!"
Funcionam durante o almoço?,"Sim! Todos os dias a partir das 11h estamos na cozinha, então você pode pedir pizza até no horário do almoço mesmo."
Tem horário diferenciado em fim de semana?,"Nos fins de semana o horário é o mesmo, só que damos uma estendida até meia-noite na sexta e sábado para atender a galera da balada."
Quais tamanhos de pizza vocês têm?,"Temos broto (individual), média, grande e família. Assim você escolhe o tamanho que melhor serve seu apetite!"
O que é pizza brotinho?,"Brotinho é o tamanho menor, ideal pra uma pessoa. Fica crocante e delícia, perfeita pra quem vai pedir sozinho ou só quer provar."
Pizza grande serve quantas pessoas?,"A pizza grande, de cerca de 35cm, serve muito bem de 3 a 4 pessoas. Se for uma galera maior, recomendamos o tamanho família."
Qual o tamanho ideal para uma festa de 5 pessoas?,"Para 5 pessoas, sugerimos a pizza tamanho família. Ela é bem maior (geralmente de 40cm) e serve até 6 pessoas facilmente."
Tem opções de mini pizza?,"Não temos mini pizza no cardápio, mas o brotinho é bem compacto, quase como um mini pra quem pede um lanche rápido."
Qual é a diferença de preço entre média e grande?,"A pizza média costuma ser um pouco mais barata que a grande. A diferença varia de acordo com o sabor e promoção, mas é só conferir no cardápio ou perguntar na hora."
A pizza tamanho família é muito grande?,"É bem grande, sim. A família é ideal pra quem quer guardar uns pedaços pro dia seguinte ou dividir com uma turminha. Tem espaço até pra repetir!"
Tem pizza extra grande?,"Sim, temos uma versão extra grande para eventos. Ela tem uns 45cm e serve várias pessoas, ótima pra festas ou reuniões de amigos."
